Sl.No,State/District,Area (Sq. Km),Total Population,Total Population Male,Total population Female,Total Rural Population,Rural Population Male,Rural population Female,Total Urban Population,Urban Population Male,Urban population Female,Total Literacy Rate,Total Literacy Rate Male,Total Literacy Rate Female,Literacy Rate Rank,Total Rural Literacy Rate,Rural Literacy Rate Male,Rural Literacy Rate Female,Total Urban Literacy Rate,Urban Literacy Rate Male,Urban Literacy Rate Female,Total Scheduled Castes,Total Scheduled Castes Male,Total Scheduled Castes Female,Total Rural Scheduled Castes,Total Rural Scheduled Castes Male,Total Rural Scheduled Castes Female,Total Urban Scheduled Castes,Total Urban Scheduled Castes Male,Total Urban Scheduled Castes Female,Total Scheduled Castes Literacy Rate,Scheduled Castes Literacy Rate Male,Scheduled Castes Literacy Rate Female,Scheduled Castes Literacy Rate Rank,Total Rural Scheduled Caste Literacy Rate,Rural Scheduled Caste Literacy Rate male,Rural Scheduled Caste Literacy Rate female,Total Urban Scheduled Caste Literacy Rate,Urban Scheduled Caste Literacy Rate male,Urban Scheduled Caste Literacy Rate female,Total Scheduled Tribes,Total Scheduled Tribes Male,Total Scheduled Tribes Female,Total Rural Scheduled Tribes,Total Rural Scheduled Tribes Male,Total Rural Scheduled Tribes Female,Total Urban Scheduled Tribes,Total Urban Scheduled Tribes Male,Total Urban Scheduled Tribes Female,Total Scheduled Tribes Literacy Rate,Scheduled Tribes Literacy Rate Male,Scheduled Tribes Literacy Rate Female,Scheduled Tribes Literacy Rate Rank,Total Rural Scheduled Tribes Literacy Rate,Rural Scheduled Tribes Literacy Rate male,Rural Scheduled Tribes Literacy Rate female,Total Urban Scheduled Tribes Literacy Rate,Urban Scheduled Tribes Literacy Rate male,Urban Scheduled Tribes Literacy Rate female
1,Chennai,175,4646732,2335844,2310888,NA,NA,NA,4646732,2335844,2310888,90.18,93.7,86.64,2,NA,NA,NA,90.18,93.7,86.64,779667,389001,390666,NA,NA,NA,779667,389001,390666,83.63,88.79,78.52,2,NA,NA,NA,83.63,88.79,78.52,10061,5207,4854,NA,NA,NA,10061,5207,4854,84.47,88.44,80.22,1,NA,NA,NA,84.47,88.44,80.22
2,Kancheepuram,4483,3998252,2012958,1985294,1459916,734979,724937,2538336,1277979,1260357,84.49,89.89,79.02,5,75.95,83.63,68.2,89.39,93.49,85.24,948081,474264,473817,550997,275720,275277,397084,198544,198540,77.31,84.2,70.44,8,72.63,80.24,65.04,83.83,89.72,77.96,41210,20605,20605,27057,13486,13571,14153,7119,7034,54.9,60.42,49.39,21,48.42,53.14,43.76,66.92,73.72,60
3,Thiruvallur,3394,3728104,1876062,1852042,1299709,650462,649247,2428395,1225600,1202795,84.03,89.69,78.32,6,74.25,82.45,66.09,89.25,93.53,84.92,821646,410526,411120,451999,225349,226650,369647,185177,184470,78.34,85.38,71.36,7,72.62,80.68,64.67,85.34,91.1,79.59,47243,23692,23551,35044,17521,17523,12199,6171,6028,53.96,59.76,48.16,23,48.78,54.33,43.25,68.64,75.03,62.19
4,Cuddalore,3703,2605914,1311697,1294217,1720725,868861,851864,885189,442836,442353,78.04,85.93,70.14,19,73.69,82.85,64.48,86.38,91.88,80.9,763944,383943,380001,609922,307009,302913,154022,76934,77088,71.44,79.69,63.19,19,69.44,77.97,60.89,79.23,86.41,72.11,15702,7943,7759,9923,4974,4949,5779,2969,2810,55.65,62.66,48.58,20,52.61,59.82,45.48,60.9,67.41,54.08
5,Villupuram,7194,3458873,1740819,1718054,2939785,1481475,1458310,519088,259344,259744,71.88,80.55,63.15,29,69.59,78.75,60.33,84.74,90.71,78.82,1015716,510869,504847,924896,465644,459252,90820,45225,45595,66.76,75.46,57.99,28,65.82,74.62,56.93,76.25,84.08,68.56,74859,37570,37289,71370,35789,35581,3489,1781,1708,44.38,51.3,37.47,32,43.05,49.98,36.15,70.66,76.69,64.31
6,Vellore,6075,3936331,1961688,1974643,2234344,1117101,1117243,1701987,844587,857400,79.17,86.5,71.95,17,74.7,83.39,66.08,85.01,90.59,79.56,860212,424668,435544,547724,271717,276007,312488,152951,159537,79.14,85.96,72.54,5,76.65,84.12,69.34,83.49,89.21,78.05,72955,36663,36292,65015,32675,32340,7940,3988,3952,50.75,59.86,41.67,26,48.75,58.07,39.48,66.78,74,59.45
7,Tiruvannamalai,6188,2464875,1235889,1228986,1969930,989726,980204,494945,246163,248782,74.21,83.11,65.32,26,71.62,81.18,62.05,84.41,90.8,78.13,565329,282615,282714,493925,247457,246468,71404,35158,36246,71.41,79.84,63.03,20,70.09,78.71,61.49,80.44,87.76,73.4,90954,45956,44998,86775,43864,42911,4179,2092,2087,46.81,56.02,37.53,30,46.33,55.64,36.92,56.94,63.82,50.08
8,Salem,5237,3482056,1781571,1700485,1707934,883274,824660,1774122,898297,875825,72.86,80.24,65.15,27,65.74,74.57,56.32,79.67,85.79,73.43,580512,294062,286450,318693,162603,156090,261819,131459,130360,69.08,77.43,60.51,22,64.39,73.37,55.05,74.76,82.45,67.02,119369,60489,58880,110233,55806,54427,9136,4683,4453,51.85,60.39,43.17,25,49.83,58.44,41.1,75.67,83.02,67.99
9,Namakkal,3420,1726601,869280,857321,1030476,520684,509792,696125,348596,347529,74.63,82.64,66.57,24,71.34,80.21,62.36,79.51,86.28,72.77,345392,173973,171419,244098,122948,121150,101294,51025,50269,66,74.17,57.76,29,64.26,72.6,55.83,70.21,77.95,62.41,57059,29383,27676,55326,28491,26835,1733,892,841,60.65,68.73,52.23,17,59.91,68.14,51.33,83.94,87.08,80.61
10,Dharmapuri,4497,1506843,774303,732540,1245931,643215,602716,260912,131088,129824,68.54,76.85,59.8,32,65.86,74.69,56.47,81.21,87.33,75.07,245392,124706,120686,207187,105556,101631,38205,19150,19055,68.85,77.87,59.56,25,67.22,76.5,57.61,77.59,85.3,69.87,63044,32130,30914,60385,30730,29655,2659,1400,1259,57.09,64.75,49.21,18,56.57,64.28,48.65,69.14,75.21,62.53
