Sl.No,District,No of Beneficiaries (SC),Amount (Rs. in Lakhs) (SC),No of Beneficiaries (ST),Amount (Rs. in Lakhs) (ST),No of Beneficiaries (M.B.C/ D.N.C),Amount (Rs. in thousands) (M.B.C/ D.N.C),No of Beneficiaries (B.C),Amount (Rs. in thousands) (B.C),No of Beneficiaries (Christian),Amount (Rs. in Lakhs) (Christian),No of Beneficiaries (Muslim),Amount (Rs. in Lakhs) (Muslim),No of Beneficiaries (Buddist),Amount (Rs. in Lakhs) (Buddist),No of Beneficiaries (Jain),Amount (Rs. in Lakhs) (Jain),No of Beneficiaries (Sikhs),Amount (Rs. in Lakhs) (Sikhs),Total No of Beneficiaries (SC+ST+MBC/DNC+BC Christian+Muslim+Buddist+Jain+Sikhs),Total Amount (Rs. in Lakhs) (SC+ST+MBC/DNC+BC Christian+Muslim+Buddist+Jain+Sikhs)
1,Chennai,41750,2541.1047,749,78.6375,17782,74872,35094,46033,8153,276.75,11756,341.19,4,0.26,45,2.93,0,0,114987,83085.08
2,Kancheepuram,69179,10998.4023,435,226.4923,35431,234086,29970,117734,8449,374.56,8548,384.25,0,0,68,6.08,5,0.24,131146,201719
3,Thiruvallur,30584,3411.3481,210,24.8394,21277,64352,17521,36362,3490,122.26,3552,145.86,0,0,60,3.07,1,0.25,64912,92185.62
4,Cuddalore,48276,5389.1695,380,118.097,6812,28399,12734,38150,4540,118.21,12135,295.34,1,0.09,9,0.65,0,0,87120,92917.52
5,Villupuram,49761,4907.6512,1015,117.5096,7799,30399,10059,38436,6764,170.45,4981,139.46,1,0.06,20,0.74,0,0,69400,47425.24
6,Vellore,37772,4096.6968,1381,141.341,18167,38030,15587,30794,1156,54.67,22194,499.04,2,0.1,6,0.22,0,0,98641,74175.13
7,Tiruvannamalai,19804,1892.3551,270,33.8156,6724,22158,5027,25599,4242,104.98,6576,114.62,1,0.02,223,9.08,0,0,50414,35096.55
8,Salem,43353,5147.9115,5638,694.7593,10463,42776,13275,38219,2258,60.85,5038,121.63,1,0.06,0,0,0,0,73007,74653.25
9,Namakkal,44221,7624.9918,3105,673.7731,22049,122803,13898,68006,620,33.62,1795,67.01,0,0,0,0,0,0,61814,122406.2
10,Dharmapuri,17693,1745.868,2375,269.0418,4262,9947,7308,18441,737,27.6,1821,33.51,0,0,0,0,0,0,31933,26457.68
